pattern,meaning,title,explanation,category,example_sentence,example_translation
〜まで,"Đến buổi chiều gió dần mạnh lên, chiều tối thì đến cả tuyết cũng rơi.",N3,"""Cấu trúc 〜まで được dùng để diễn tả một điều gì đó xảy ra vượt quá mong đợi thông thường, nhấn mạnh sự bất ngờ, kinh ngạc. Biểu thị một sự bất ngờ hoặc khó tin. Thường được dịch là """"đến cả"""", """"thậm chí"""", """"tới mức"""".""",jlpt_grammar,,
default,"""#助詞 #程度 #範囲 #極端 #驚き #アニメ""",[sound:J2TEAM-TTS-1748152705007.mp3],,jlpt_grammar,,
〜てまで／〜にまで,"Tôi muốn có một chiếc tivi mới, nhưng không đến mức phải đi vay tiền để mua.",N3,"Cấu trúc 〜てまで được dùng để chỉ một hành động cực đoan hoặc quá mức mà người ta (không) làm để đạt được mục đích nào đó. Thường được dùng trong ngữ cảnh phủ định hoặc tiêu cực, chỉ ra rằng hành động đó quá cực đoan.",jlpt_grammar,,
default,"""#助詞 #程度 #手段 #極端 #否定 #行為""",[sound:J2TEAM-TTS-1748152722661.mp3],,jlpt_grammar,,
〜まで,親友にまで裏切られた。(Đến cả bạn thân thiết cũng quay lưng với tôi.),N3,"""Trợ từ 〜まで có hai ý nghĩa chính:",jlpt_grammar,,
〜まで・〜さえ・〜すら・〜だけでなく～も,Các trợ từ nhấn mạnh mức độ bất ngờ và cực đoan,N3,,jlpt_grammar,,
〜てでも,Dù có thế nào thì tôi vẫn muốn có được bức tranh này. Đến mức phải đi vay tiền thì tôi cũng vẫn muốn mua.,N3,"Cấu trúc 〜てでも được dùng để thể hiện một mong muốn, ý chí mạnh mẽ hoặc mệnh lệnh, đến mức sẵn sàng làm những việc vượt quá phạm vi thông thường để đạt được mục đích. Nó nhấn mạnh quyết tâm cao độ hoặc sự cần thiết phải hoàn thành điều gì đó bằng mọi giá.",jlpt_grammar,,
default,"""#助詞 #程度 #意志 #決意 #強調 #極端""",[sound:J2TEAM-TTS-1748152609020.mp3],,jlpt_grammar,,
〜てでも,どうしてもこの絵がほしい。借金してでも買いたい。 (Dù có thế nào thì tôi vẫn muốn có được bức tranh này. Đến mức phải đi vay tiền thì tôi cũng vẫn muốn mua.),N3,"Cấu trúc 〜てでも được sử dụng để diễn tả một {{c1::quyết tâm mạnh mẽ}} hoặc {{c1::ý chí kiên định}} để đạt được điều gì đó. Người nói thể hiện rằng họ sẵn sàng {{c2::vượt qua mọi trở ngại}} hoặc {{c2::làm những điều cực đoan}} để đạt được mục tiêu. Cấu trúc này thường xuất hiện trong các câu mang {{c3::ý nghĩa tích cực}}, thể hiện {{c3::quyết tâm không thay đổi}} của người nói trước khó khăn.",jlpt_grammar,,
〜てでも・〜てまで・〜ても,Các cấu trúc biểu thị mức độ quyết tâm và nhượng bộ,N3,,jlpt_grammar,,
～上で,"Sau khi thảo luận cùng với gia đình, tôi sẽ phản hồi lại.",N3,"""Cấu trúc ～上で có hai ý nghĩa chính. Ý nghĩa thứ nhất là """"sau khi…"""", chỉ hành động được thực hiện trước khi một hành động khác diễn ra, thường là các bước chuẩn bị cần thiết. Ý nghĩa thứ hai là """"trong quá trình…"""", """"khi…"""", chỉ điều cần lưu ý trong quá trình làm gì đó.""",jlpt_grammar,,
default,"""#接続表現 #順序 #条件 #準備 #過程""",[sound:J2TEAM-TTS-1748152350753.mp3],,jlpt_grammar,,
～上で,よく考えた上で決断することが大切です。(Điều quan trọng là đưa ra quyết định sau khi đã suy nghĩ kỹ lưỡng.),N3,"""Cấu trúc """"～上で"""" được sử dụng với hai ý nghĩa chính. Ý nghĩa thứ nhất là {{c1::sau khi thực hiện một hành động}} và {{c1::dựa trên kết quả đó}} để tiến hành hành động tiếp theo. Trong trường hợp này, hành động đầu tiên được xem là {{c2::điều kiện cần thiết}} hoặc {{c2::bước chuẩn bị quan trọng}}. Ý nghĩa thứ hai là {{c3::trong quá trình}} hoặc {{c3::trong trường hợp}} làm gì đó, nhấn mạnh những điểm cần lưu ý.""",jlpt_grammar,,
「前提・過程」表現,Các cách diễn đạt tiền đề và quá trình,N3,,jlpt_grammar,,
～以上(は) / ～上は,"Một khi đã hứa là sẽ đi, thì không thể không đi được.",N3,"""Cấu trúc ～以上(は) / ～上は diễn tả """"một khi đã… thì đương nhiên…"""". Nó thể hiện mối quan hệ nhân quả logic, trong đó vế sau là kết quả tất yếu, không thể tránh khỏi hoặc là trách nhiệm phải gánh vác sau khi vế trước đã xảy ra hoặc được xác định.""",jlpt_grammar,,
default,"""#接続詞 #因果関係 #確定 #結論 #責任""",[sound:J2TEAM-TTS-1748152474680.mp3],,jlpt_grammar,,
～以上(は) / ～上は,"先生に任された以上、最善を尽くすべきだ。(Một khi đã được thầy giao phó, tôi nên cố gắng hết sức.)",N3,"""Cấu trúc """"～以上(は) / ～上は"""" được sử dụng để diễn tả {{c1::mối quan hệ logic tất yếu}} giữa hai sự việc. Cụ thể, nó thể hiện rằng {{c1::một khi điều kiện ở vế trước đã được xác lập}} thì {{c2::hậu quả ở vế sau là không thể tránh khỏi hoặc phải được thực hiện}}. Cấu trúc này thường xuất hiện trong {{c3::ngữ cảnh đưa ra quyết định}} hoặc {{c3::thể hiện trách nhiệm}} khi một tình huống đã được xác định.""",jlpt_grammar,,
「必然性・責任」表現,Các cách diễn đạt tính tất yếu và trách nhiệm,N3,,jlpt_grammar,,
～上(に),"Em gái anh ta là người xinh đẹp, hơn nữa tính cách lại tốt nữa.",N3,"""Cấu trúc ～上(に) được sử dụng để thể hiện """"không chỉ A mà còn B"""", nhấn mạnh rằng cả A và B đều có cùng mức đánh giá (tốt hoặc xấu). Cấu trúc này thường được dùng khi muốn liệt kê nhiều tính chất/đặc điểm cùng chiều (đều tốt hoặc đều xấu) của một đối tượng.""",jlpt_grammar,,
default,"""#接続詞 #追加 #強調 #列挙 #評価""",[sound:彼の妹は美人の上に性格も良い。.mp3],,jlpt_grammar,,
～上(に),"この店は料理がおいしい上に、値段も安いです。(Cửa hàng này có món ăn ngon, hơn nữa giá cả lại còn rẻ.)",N3,"""Cấu trúc """"～上(に)"""" được sử dụng để diễn tả {{c1::không chỉ có một đặc điểm}} mà {{c1::còn có thêm đặc điểm khác}}. Đặc biệt, nó nhấn mạnh rằng {{c2::cả hai đặc điểm đều có cùng mức đánh giá}} (đều tốt hoặc đều xấu). Cấu trúc này thường xuất hiện khi {{c3::liệt kê nhiều tính chất}} của một đối tượng hoặc {{c3::nhiều yếu tố của một tình huống}} cùng góp phần tạo nên một ấn tượng/kết quả tổng thể.""",jlpt_grammar,,
「さらに追加」表現,"""Các cách diễn đạt """"sự bổ sung, thêm vào""""""",N3,,jlpt_grammar,,
～ばかりだ,"Càng có tuổi, trí nhớ càng suy giảm.",N3,"Cấu trúc ～ばかりだ diễn tả tình trạng hoặc sự việc đang thay đổi liên tục theo một chiều hướng nhất định, thường là chiều hướng không tốt. Nó thể hiện sự tiếp diễn của một xu hướng tiêu cực hoặc một tình trạng đang ngày càng trở nên tệ hơn.",jlpt_grammar,,
default,"""#補助詞 #変化 #傾向 #程度 #悪化""",[sound:年をとると、記憶力は衰えるばかりだ。.mp3],,jlpt_grammar,,
～ばかりだ,"物価は上がるばかりで、給料は変わらない。(Giá cả thì ngày càng tăng, nhưng lương thì không thay đổi.)",N3,"""Cấu trúc """"～ばかりだ"""" được sử dụng để diễn tả {{c1::sự thay đổi liên tục}} theo {{c1::một chiều hướng nhất định}}. Đặc biệt, cấu trúc này thường diễn tả {{c2::xu hướng tiêu cực}} hoặc {{c2::tình trạng đang xấu đi}}. Nó thường xuất hiện trong {{c3::các phàn nàn}} hoặc khi {{c3::mô tả tình huống không như mong đợi}} và ngày càng trở nên tồi tệ hơn theo thời gian.""",jlpt_grammar,,
一方向の変化表現,Các cách diễn đạt sự thay đổi theo một chiều,N3,,jlpt_grammar,,
～ばかりか,Nữ hoàng không những xinh đẹp mà còn hiền hậu nữa.,N3,"""Cấu trúc ～ばかりか được sử dụng để thể hiện """"không chỉ A mà còn B"""", với B thường là điều bất ngờ hoặc mang tính chất bổ sung quan trọng. Nó nhấn mạnh rằng không chỉ có đặc điểm đầu tiên, mà còn có đặc điểm thứ hai với mức độ hoặc tầm quan trọng cao hơn.""",jlpt_grammar,,
default,"""#補助詞 #追加 #程度 #比較 #強調""",[sound:女王は美しいばかりか心も優しかった。.mp3],,jlpt_grammar,,
～ばかりか,彼は日本語が上手なばかりか、中国語も話せる。(Anh ấy không chỉ giỏi tiếng Nhật mà còn có thể nói tiếng Trung.),N3,"""Cấu trúc """"～ばかりか"""" được sử dụng để diễn tả {{c1::không chỉ một điều}} mà {{c1::còn có thêm điều khác}}. Điểm đặc biệt là nó thường nhấn mạnh rằng {{c2::yếu tố thứ hai có mức độ cao hơn}} hoặc {{c2::đáng ngạc nhiên hơn}} yếu tố đầu tiên. Cấu trúc này thường xuất hiện trong {{c3::văn viết}} hoặc {{c3::phát biểu trang trọng}} để làm nổi bật sự bổ sung đáng giá.""",jlpt_grammar,,
「不只…而且…」表現,"""Các cách diễn đạt """"Không chỉ… mà còn…""""""",N3,,jlpt_grammar,,
～ないものか/だろうか,Ước gì đến một ngày cả thế giới này trở nên hòa bình.,N3,"Cấu trúc này diễn tả ước muốn, mong mỏi của người nói về một điều gì đó. Người nói thể hiện mong muốn mạnh mẽ rằng điều đó có thể xảy ra, mặc dù biết rằng khả năng thực hiện có thể không cao hoặc đòi hỏi nhiều nỗ lực.",jlpt_grammar,,
default,"""#願望 #希望 #可能性 #N3文法 #表現""",[sound:世界が平和になる日が来ないものだろうか。.mp3],,jlpt_grammar,,
～ないものか/だろうか,何とか手術をしないで治せないものだろうかと、医者に相談してみた。 (Tôi đã thử bàn với bác sĩ rằng tôi muốn làm cách nào mà không cần phẫu thuật mà vẫn chữa khỏi bệnh được.),N3,"""Cấu trúc """"～ないものか/だろうか"""" được sử dụng để diễn tả {{c1::ước muốn mạnh mẽ}} hoặc {{c1::mong mỏi thiết tha}} của người nói về việc một điều gì đó có thể xảy ra hoặc thực hiện được.",jlpt_grammar,,
願望表現の文型,"Các cấu trúc diễn đạt mong muốn, ước ao",N3,,jlpt_grammar,,
～ものだ/～ものではない,Thông thường thì nên nhường chỗ cho người cao tuổi.,N3,"Cấu trúc này có ba ý nghĩa chính: 1) diễn tả điều tự nhiên, thông thường hoặc mệnh lệnh nhẹ nhàng; 2) hồi tưởng về quá khứ, kỷ niệm xưa; 3) diễn tả cảm xúc, cảm thán sâu sắc về điều gì đó.",jlpt_grammar,,
default,"""#常識 #感慨 #回想 #忠告 #N3文法""",[sound:お年寄りには席を譲るものですよ。.mp3],,jlpt_grammar,,
～ものだ/～ものではない,女性の年を聞くものじゃないですよ。 (Không nên hỏi tuổi phụ nữ đâu.),N3,"""Cấu trúc """"～ものだ"""" có ba ý nghĩa chính cần phân biệt rõ:",jlpt_grammar,,
規範・感情・回想の表現,"Các cấu trúc diễn đạt quy tắc, hồi tưởng và cảm xúc",N3,,jlpt_grammar,,
～ものの,Tôi biết là thuốc lá có hại cho sức khỏe nhưng mãi không bỏ được.,N3,"""Cấu trúc này diễn tả một sự đối lập giữa hai vế câu, tương tự như """"～が"""" hoặc """"～けれども"""". Vế trước là một sự thật đã được thừa nhận, nhưng vế sau diễn tả một kết quả trái ngược với những gì được kỳ vọng từ sự thật đó.""",jlpt_grammar,,
default,"""#逆接 #譲歩 #対比 #N3文法 #接続表現""",[sound:たばこは体に悪いとわかってはいるものの、なかなかやめられない。.mp3],,jlpt_grammar,,
～ものの,あの学生は成績は良いものの、学習態度は良くない。 (Học sinh đó có thành tích học tập tốt nhưng thái độ học tập thì không tốt.),N3,"""Cấu trúc """"～ものの"""" được sử dụng để diễn tả {{c1::sự đối lập}} hoặc {{c1::nhượng bộ}} giữa hai vế câu. Vế trước thường là {{c2::một sự thật được thừa nhận}}, nhưng vế sau diễn tả {{c2::kết quả hoặc tình huống trái ngược}} với những gì được kỳ vọng từ sự thật đó. So với các cấu trúc đối lập khác, """"～ものの"""" mang sắc thái {{c3::nhẹ nhàng hơn}} và {{c3::thể hiện sự thừa nhận}} trước khi đưa ra ý đối lập.""",jlpt_grammar,,
逆接の接続表現,Các cấu trúc diễn đạt sự đối lập,N3,,jlpt_grammar,,
～ことに,"Thật là vui mừng, tôi đã được chọn làm đại diện tham dự cuộc thi hùng biện.",N3,"Cấu trúc này dùng để nhấn mạnh, nêu lên tâm trạng hoặc cảm xúc của người nói về một sự việc. Phần đầu thường là tính từ chỉ cảm xúc, và phần sau là sự việc gây ra cảm xúc đó.",jlpt_grammar,,
default,"""#感情 #気持ち #驚き #N3文法 #表現""",[sound:J2TEAM-TTS-1748150686226.mp3],,jlpt_grammar,,
～ことに,"残念なことに、楽しみにしていたキャンプが雨で中止になった。 (Thật là đáng tiếc, hội trại đang vui vẻ thì bị mưa rơi khiến cho phải bị hoãn.)",N3,"""Cấu trúc """"～ことに"""" được sử dụng để {{c1::diễn đạt cảm xúc}} hoặc {{c1::phản ứng chủ quan}} của người nói đối với một tình huống hoặc sự việc. Cấu trúc này thường bắt đầu câu và {{c2::tạo sự kết nối}} giữa cảm xúc với sự kiện gây ra cảm xúc đó. Người nói sử dụng cấu trúc này khi muốn {{c3::nhấn mạnh phản ứng cảm xúc}} của mình trước khi trình bày sự việc chính.""",jlpt_grammar,,
感情表現の文型,Các cấu trúc diễn đạt cảm xúc,N3,,jlpt_grammar,,
～ことだから,Ai chứ người hay dậy muộn như anh ta thì hôm nay chắc cũng sẽ đến muộn thôi.,N3,"Cấu trúc này dùng để đưa ra suy luận, phán đoán về hành động, tình huống dựa trên tính cách, đặc điểm đã biết của đối tượng. Người nói thường sử dụng kiến thức về đối tượng làm cơ sở cho nhận định của mình.",jlpt_grammar,,
default,"""#性格 #予想 #判断 #推測 #N3文法""",[sound:J2TEAM-TTS-1748072528145.mp3],,jlpt_grammar,,
～ことだから,真面目な木村さんのことだから、約束は守るに違いない。 (Người nghiêm túc như anh Kimura thì nhất định sẽ giữ lời hứa.),N3,"""Cấu trúc """"～ことだから"""" được sử dụng để đưa ra {{c1::suy luận hoặc phán đoán}} dựa trên {{c1::tính cách hoặc đặc điểm}} của người/vật/nơi chốn mà người nói đã biết rõ. Đây là cách diễn đạt mang tính {{c2::chủ quan}} dựa trên {{c2::kinh nghiệm cá nhân}} về đối tượng. Thường được dùng khi muốn {{c3::giải thích lý do}} hoặc {{c3::dự đoán hành động}} của ai đó một cách tự nhiên.""",jlpt_grammar,,
推測・予想の表現,Các cấu trúc diễn đạt sự suy luận và dự đoán,N3,,jlpt_grammar,,
～ことなく,"Để giành chiến thắng trong trận đấu, họ đã phấn đấu luyện tập không nghỉ một ngày nào.",N3,"""Cấu trúc này diễn tả việc """"hoàn toàn không làm gì đó"""", tương tự với ～しないで nhưng nhấn mạnh hơn vào sự triệt để, hoàn toàn không làm điều gì, ngay cả một chút cũng không. Thường được dùng để diễn tả sự kiên trì hoặc hành động liên tục không bị gián đoạn.""",jlpt_grammar,,
default,"""#否定 #連続 #完全否定 #N3文法 #表現""",[sound:J2TEAM-TTS-1748072930278.mp3],,jlpt_grammar,,
～ことなく,"彼らは試合に勝つために、1日も休むことなく練習に励んだ。 (Để giành chiến thắng trong trận đấu, họ đã phấn đấu luyện tập không nghỉ một ngày nào.)",N3,"""Cấu trúc """"～ことなく"""" được sử dụng để diễn tả hành động {{c1::hoàn toàn không thực hiện}} hoặc {{c1::hoàn toàn không xảy ra}}. Nó mang nghĩa tương tự như """"～しないで"""" nhưng {{c2::nhấn mạnh tính triệt để}} và {{c2::sự liên tục không bị gián đoạn}}. Cấu trúc này thường xuất hiện trong {{c3::văn viết}} hoặc {{c3::phát biểu trang trọng}} và tạo cảm giác rằng người nói đang nhấn mạnh vào sự hoàn hảo hoặc triệt để của hành động.""",jlpt_grammar,,
否定表現の文型,Các cấu trúc diễn đạt phủ định,N3,,jlpt_grammar,,
～を～として,"Năm nay tôi quyết tâm cố gắng, đặt mục tiêu sau một năm sẽ thi đỗ đại học.",N3,"Cấu trúc này được dùng để diễn tả việc lấy một sự vật, sự việc làm đối tượng hoặc mục tiêu của hành động. Nó thể hiện cách nhìn nhận, xác định vai trò, chức năng hoặc mục đích của đối tượng đó.",jlpt_grammar,,
default,"""#目的 #対象 #考え方 #機能 #役割""",[sound:J2TEAM-TTS-1748159387191.mp3],,jlpt_grammar,,
～を～として,"山田氏を団長とする訪米団が結成された。(Đoàn đại biểu đến Mỹ đã được lựa ra, lấy ông Yamada làm trưởng đoàn.)",N3,Cấu trúc này được sử dụng để diễn tả việc {{c1::lấy một thứ gì đó làm đối tượng}} hoặc {{c1::mục tiêu}} của hành động. Nó thường xuất hiện khi người nói muốn {{c2::xác định vai trò}} hoặc {{c2::chức năng}} của đối tượng đó trong một ngữ cảnh cụ thể. Cấu trúc này còn được dùng để {{c3::thể hiện cách nhìn nhận}} hoặc {{c3::quan điểm}} của người nói đối với một vấn đề nào đó.,jlpt_grammar,,
"役割・機能を表す表現の比較 (So sánh các biểu thức chỉ vai trò, chức năng)",So sánh các biểu thức chỉ vai trò và chức năng,N3,,jlpt_grammar,,
～てしようがない(しょうがない)/しかたがない,"Suốt giờ kiểm tra, tôi cứ bị để tâm vào tiếng bước chân đi lại quanh phòng của thầy giáo.",N3,"Cấu trúc「～てしようがない」diễn tả một trạng thái cảm xúc hoặc cảm giác rất mạnh đến mức không thể kiểm soát hoặc kìm chế được. Cấu trúc này thường được sử dụng để nhấn mạnh sự không thể kiểm soát trước một cảm giác, trạng thái mạnh mẽ.",jlpt_grammar,,
default,"""#文法 #N3 #感情 #程度 #抑制 #制御不能""",[sound:J2TEAM-TTS-1748153314656.mp3],,jlpt_grammar,,
～てしようがない(しょうがない)/しかたがない,"当たりを探しましたが、全然見つからなくて悔しくてしようがありませんでした。(Tôi đã tìm kiếm chìa khóa, nhưng hoàn toàn không thấy nên cảm thấy tức giận không chịu được.)",N3,Cấu trúc「～てしようがない」được sử dụng để diễn tả một tình huống mà người nói cảm thấy {{c1::không thể kiểm soát}} hoặc {{c1::kìm chế}} trước một cảm xúc hoặc cảm giác mạnh mẽ. Nó thường được dùng khi cảm giác đó {{c2::quá mạnh}} đến mức chi phối hoàn toàn người nói. Cấu trúc này thường xuất hiện trong {{c3::ngữ cảnh cá nhân}} để diễn tả cảm xúc chủ quan và ít khi được dùng để mô tả cảm xúc của người khác một cách khách quan.,jlpt_grammar,,
抑制できない感情を表す表現,Các cách diễn đạt cảm xúc không thể kiềm chế,N3,,jlpt_grammar,,
～をめぐって/めぐり,"Xung quanh phát ngôn của thủ tướng, đảng cầm quyền và đảng đối lập có ý kiến trái chiều nhau và phiên thảo luận đã bị dừng lại.",N2,"Cấu trúc「～をめぐって/めぐり」được sử dụng để diễn tả việc có nhiều ý kiến, tranh luận hoặc sự kiện xoay quanh một vấn đề hay chủ đề cụ thể. Nó thường xuất hiện khi một sự việc trở thành trung tâm của sự chú ý và gây ra nhiều phản ứng khác nhau.",jlpt_grammar,,
default,"""#文法 #N2 #話題 #議論 #状況 #対立""",[sound:J2TEAM-TTS-1748159422440.mp3],,jlpt_grammar,,
～をめぐって/めぐり,"新しい法律をめぐって、専門家の間で激しい議論が起きている。(Xung quanh đạo luật mới, đang diễn ra cuộc tranh luận gay gắt giữa các chuyên gia.)",N2,"「～をめぐって/めぐり」là cấu trúc được sử dụng để diễn tả việc có {{c1::nhiều ý kiến}} hoặc {{c1::tranh luận}} xoay quanh một vấn đề. Cấu trúc này thường được dùng khi một chủ đề trở thành {{c2::tâm điểm của sự chú ý}} và gây ra {{c2::nhiều phản ứng khác nhau}}. Nó thường xuất hiện trong {{c3::tin tức}} hoặc {{c3::bài viết phân tích}} về các vấn đề xã hội, chính trị hoặc tranh chấp.",jlpt_grammar,,
話題に関する表現,Các cách diễn đạt liên quan đến chủ đề,N2,,jlpt_grammar,,
～といった,"Mùa hè năm nay có nhiều màu sắc tươi sáng được thịnh hành như xanh da trời, cam…",N3,"Cấu trúc「～といった」được sử dụng để đưa ra ví dụ điển hình cho một nhóm, loại hoặc phạm trù rộng hơn. Nó thường được dùng khi người nói muốn nêu ra một vài ví dụ cụ thể nhưng ngụ ý rằng còn nhiều ví dụ khác tương tự.",jlpt_grammar,,
default,"""#文法 #N3 #例示 #列挙 #説明""",[sound:J2TEAM-TTS-1748153365502.mp3],,jlpt_grammar,,
～といった,京都には金閣寺や清水寺といった有名な観光スポットがあります。(Ở Kyoto có những địa điểm du lịch nổi tiếng như chùa Kinkakuji hay chùa Kiyomizu.),N3,「～といった」là cấu trúc được sử dụng để {{c1::đưa ra ví dụ cụ thể}} hoặc {{c1::liệt kê một số trường hợp điển hình}} cho một nhóm hoặc loại rộng hơn. Cấu trúc này giúp người nói {{c2::nêu ra một vài ví dụ tiêu biểu}} mà không cần liệt kê đầy đủ tất cả các trường hợp. Nó thường xuất hiện trong {{c3::văn phong trang trọng}} hoặc {{c3::báo cáo học thuật}} khi cần minh họa cho một khái niệm tổng quát.,jlpt_grammar,,
例示を表す表現,Các cách diễn đạt để đưa ra ví dụ,N3,,jlpt_grammar,,
～に沿って／沿い,"Đi bộ khoảng 5 phút dọc theo tuyến đường này, bạn sẽ thấy công viên ở phía bên phải.",N3,"""Cấu trúc「～に沿って」được sử dụng để diễn tả việc di chuyển hoặc hành động dọc theo một đường, ranh giới hoặc theo sát một tiêu chuẩn, kế hoạch. Nó thể hiện ý """"bám sát theo"""" hoặc """"tuân theo"""" điều gì đó như kim chỉ nam.""",jlpt_grammar,,
default,"""#文法 #N3 #進行 #方向 #基準 #指針""",[sound:J2TEAM-TTS-1748159335795.mp3],,jlpt_grammar,,
～に沿って／沿い,川沿いの道を散歩するのは気持ちがいいです。(Đi dạo trên con đường dọc theo sông thật là dễ chịu.),N3,"Cấu trúc「～に沿って」được sử dụng để diễn tả việc {{c1::đi dọc theo}} hoặc {{c1::bám sát}} một đường, ranh giới vật lý. Ngoài ra, nó còn có nghĩa là {{c2::tuân theo}} hoặc {{c2::làm theo}} một kế hoạch, nguyện vọng hoặc tiêu chuẩn. Trong trường hợp thứ hai, nó thể hiện sự {{c3::trung thành với mục tiêu}} hoặc {{c3::không xa rời tiêu chuẩn}}. Dạng「沿い」thường được sử dụng như một phần của danh từ ghép.",jlpt_grammar,,
基準や指針を表す表現,Các cách diễn đạt về tiêu chuẩn và chỉ dẫn,N3,,jlpt_grammar,,
～に応じ（て）,Khách sạn chúng tôi cung cấp các dịch vụ tương ứng với nhu cầu của từng khách hàng.,N2,"Cấu trúc「～に応じ（て）」được sử dụng để diễn tả việc đáp ứng, phản ứng hoặc thích ứng với điều kiện, tình huống hay yêu cầu nào đó. Cấu trúc này thường xuất hiện khi cần diễn tả sự thay đổi tương ứng theo một điều kiện khác.",jlpt_grammar,,
default,"""#文法 #N2 #対応 #変化 #反応 #状況""",[sound:J2TEAM-TTS-1748153408631.mp3],,jlpt_grammar,,
