word,reading,meaning,category,part_of_speech,example_sentence,example_translation,kanji_breakdown,synonyms
個性,こせい,"cá tính, tính cách riêng",mimikaraoboeru,Danh từ,子供たちの個性を伸ばすような教育したい。,Tôi muốn giáo dục để phát triển cá tính của trẻ em.,"個 (cá) - cá thể, cá nhân; 性 (tính) - tính chất. Kết hợp lại chỉ tính chất riêng của mỗi cá nhân, cá tính.",個性的（こせいてき）: mang tính cá nhân、個性尊重（こせいそんちょう）: tôn trọng cá tính、個性派（こせいは）: người có cá tính mạnh
遺伝,いでん,"di truyền, truyền từ đời này sang đời khác",mimikaraoboeru,Danh từ,私の左利きは親からの遺伝だ。,Việc tôi thuận tay trái là do di truyền từ bố mẹ.,"遺 (di) - để lại, di sản; 伝 (truyền) - truyền đi, lan truyền. Kết hợp lại chỉ sự truyền lại các đặc điểm từ thế hệ trước sang thế hệ sau.",遺伝子（いでんし）: gen、遺伝病（いでんびょう）: bệnh di truyền、遺伝的（いでんてき）: thuộc về di truyền
動作,どうさ,"động tác, cử chỉ, hành động",mimikaraoboeru,Danh từ,彼女の動作は優雅で美しい。,Động tác của cô ấy dịu dàng và đẹp đẽ.,"動 (động) - chuyển động, di chuyển; 作 (tác) - làm, tạo ra. Kết hợp lại chỉ hành động chuyển động của cơ thể.",動作確認（どうさかくにん）: kiểm tra hoạt động、緩慢動作（かんまんどうさ）: động tác chậm chạp、動作音（どうさおん）: âm thanh hoạt động
真似,まね,"bắt chước, làm theo, sao chép",mimikaraoboeru,Danh từ / Động từ する,子供は何でも親の真似をしたがるものだ。,Trẻ con thường thích bắt chước bất cứ điều gì của cha mẹ.,"真 (chân) - thật, chân thật; 似 (tự) - giống, tương tự. Kết hợp lại chỉ việc làm cho giống với bản gốc, bắt chước.",物真似（ものまね）: bắt chước、声真似（こえまね）: bắt chước giọng nói、真似上手（まねじょうず）: giỏi bắt chước
睡眠,すいみん,"giấc ngủ, sự ngủ",mimikaraoboeru,Danh từ,アンケートの結果、睡眠時間は平均7時間という人が最も多かった。,"Theo kết quả điều tra, những người ngủ trung bình 7 tiếng mỗi ngày chiếm đa số.","""睡 (thụy) - ngủ; 眠 (miên) - ngủ. Cả hai kanji đều có bộ """"mục"""" (目) liên quan đến mắt, và cùng chỉ trạng thái ngủ, nghỉ ngơi.""",睡眠薬（すいみんやく）: thuốc ngủ、睡眠時間（すいみんじかん）: thời gian ngủ、睡眠不足（すいみんぶそく）: thiếu ngủ
食欲,しょくよく,"sự thèm ăn, cảm giác đói, khẩu vị",mimikaraoboeru,Danh từ,今、風邪を引いて食欲がない。,Bây giờ bị cảm nên không muốn ăn.,"食 (thực) - ăn, thức ăn; 欲 (dục) - ham muốn, mong muốn. Kết hợp lại chỉ ham muốn được ăn, cảm giác thèm ăn.",食欲不振（しょくよくふしん）: chán ăn、食欲旺盛（しょくよくおうせい）: ngon miệng、食欲増進（しょくよくぞうしん）: cải thiện khẩu vị
外食,がいしょく,"ăn ở ngoài, ăn nhà hàng",mimikaraoboeru,Danh từ / Động từ する,ひとり暮らしになって、外食が増えた。,"Khi sống một mình, việc ăn ngoài tăng lên.","外 (ngoại) - bên ngoài; 食 (thực) - ăn, thức ăn. Kết hợp lại chỉ việc ăn ở bên ngoài, không phải tại nhà.",外食産業（がいしょくさんぎょう）: ngành công nghiệp ăn uống、外食文化（がいしょくぶんか）: văn hóa ăn ngoài、外食費（がいしょくひ）: chi phí ăn ngoài
家事,かじ,"việc nhà, công việc gia đình",mimikaraoboeru,Danh từ,最近は、家事や育児する男性が増えた。,"Gần đây, số lượng nam giới làm việc nhà và chăm con đang tăng lên.","家 (gia) - nhà, gia đình; 事 (sự) - việc, công việc. Kết hợp lại chỉ những công việc cần làm trong gia đình, việc nhà.",家事手伝（かじてつだ）い: giúp việc nhà、家事労働（かじろうどう）: lao động việc nhà、家事代行（かじだいこう）: dịch vụ giúp việc
出産,しゅっさん,"sinh đẻ, sự sinh nở",mimikaraoboeru,Danh từ / Động từ する,先日、姉が女の子を出産した。,"Ngày trước, chị gái tôi đã sinh một bé gái.","出 (xuất) - ra, đi ra; 産 (sản) - sinh, sản xuất. Kết hợp lại chỉ sự sinh ra, quá trình đứa trẻ được sinh ra.",出産手当（しゅっさんてあて）: trợ cấp sinh đẻ、出産祝い（しゅっさんいわい）: quà mừng sinh con、出産休暇（しゅっさんきゅうか）: nghỉ thai sản
介護,かいご,"chăm sóc, điều dưỡng",mimikaraoboeru,Danh từ / Động từ する,お年寄りの介護をする。,Chăm sóc người già.,"介 (giới) - can thiệp, trung gian; 護 (hộ) - bảo vệ, che chở. Kết hợp lại chỉ việc can thiệp để bảo vệ, chăm sóc người khác.",介護保険（かいごほけん）: bảo hiểm chăm sóc、在宅介護（ざいたくかいご）: chăm sóc tại nhà、介護士（かいごし）: nhân viên điều dưỡng
共働き,ともばたらき,vợ chồng cùng đi làm,mimikaraoboeru,Danh từ,結婚20年、ずっと共働きだ。,"Kết hôn được 20 năm, hai vợ chồng đi làm suốt.","共 (cộng) - cùng, chung; 働き (động) - làm việc. Kết hợp lại chỉ việc cả hai vợ chồng cùng đi làm.",共働き世帯（ともばたらきせたい）: hộ gia đình có cả vợ chồng đi làm、共働き家庭（ともばたらきかてい）: gia đình có cả vợ chồng đi làm
出勤,しゅっきん,"đi làm, sự đi làm",mimikaraoboeru,Danh từ / Động từ する,毎朝8時に出勤している。,Tôi đi làm vào 8 giờ mỗi sáng.,"出 (xuất) - ra, đi ra; 勤 (cần) - làm việc, chăm chỉ. Kết hợp lại chỉ việc đi ra để làm việc, đi làm.",出勤時間（しゅっきんじかん）: giờ đi làm、休日出勤（きゅうじつしゅっきん）: đi làm vào ngày nghỉ、時差出勤（じさしゅっきん）: đi làm giờ linh hoạt
出世,しゅっせ,"thăng tiến, thành đạt",mimikaraoboeru,Danh từ / Động từ する,出世もしたいが、仕事ばかりの人生も嫌だ。,"Tôi cũng muốn thăng tiến, nhưng cũng không thích cuộc sống chỉ toàn công việc.","出 (xuất) - ra, đi ra; 世 (thế) - đời, thế giới. Kết hợp lại chỉ việc vươn lên trong xã hội, đạt được thành công.",出世街道（しゅっせかいどう）: con đường thăng tiến、出世競争（しゅっせきょうそう）: cuộc đua thăng tiến、出世頭（しゅっせがしら）: người thăng tiến nhanh
地位,ちい,"địa vị, vị trí, chức vụ",mimikaraoboeru,Danh từ,地位が上がるとともにストレスも増える。,Khi địa vị tăng lên thì áp lực cũng nhiều lên.,"地 (địa) - đất, địa phương; 位 (vị) - vị trí, thứ bậc. Kết hợp lại chỉ vị trí, thứ bậc trong xã hội, địa vị.",社会的地位（しゃかいてきちい）: địa vị xã hội、地位向上（ちいこうじょう）: nâng cao địa vị、地位確立（ちいかくりつ）: thiết lập địa vị
受験,じゅけん,"dự thi, tham gia kỳ thi",mimikaraoboeru,Danh từ / Động từ する,東京の大学に受験した。,Tôi đã tham gia kỳ thi vào trường đại học ở Tokyo.,"受 (thụ) - nhận; 験 (nghiệm) - kiểm tra, thử. Kết hợp lại chỉ việc tham gia một cuộc thử thách, kỳ thi.",受験勉強（じゅけんべんきょう）: học để thi、受験生（じゅけんせい）: thí sinh、大学受験（だいがくじゅけん）: thi đại học
専攻,せんこう,"chuyên ngành, ngành học chính",mimikaraoboeru,Danh từ / Động từ する,私は大学で経済学を専攻した。,Tôi đã học chuyên ngành kinh tế ở trường đại học.,"専 (chuyên) - chuyên môn, tập trung; 攻 (công) - tấn công, nghiên cứu. Kết hợp lại chỉ việc tập trung nghiên cứu một lĩnh vực, chuyên ngành.",専攻分野（せんこうぶんや）: lĩnh vực chuyên môn、専攻科目（せんこうかもく）: môn học chuyên ngành、専攻生（せんこうせい）: sinh viên chuyên ngành
支度,したく,"sự chuẩn bị, sự sửa soạn",mimikaraoboeru,Danh từ / Động từ する,出かけるから支度しなさい。,Sắp đi ra ngoài nên hãy chuẩn bị các thứ đi.,"支 (chi) - hỗ trợ, chi trả; 度 (độ) - mức độ, lần. Kết hợp lại chỉ việc đo lường và chuẩn bị đầy đủ mọi thứ.",旅行支度（りょこうしたく）: chuẩn bị cho chuyến đi、支度金（したくきん）: tiền chuẩn bị、食事支度（しょくじしたく）: chuẩn bị bữa ăn
全身,ぜんしん,"toàn thân, toàn bộ cơ thể",mimikaraoboeru,Danh từ,玄関に、全身を映す大きな鏡が置いてある。,Ở lối vào có đặt một tấm gương lớn có thể soi toàn thân.,"全 (toàn) - toàn bộ, tất cả; 身 (thân) - thân thể, cơ thể. Kết hợp lại chỉ toàn bộ cơ thể, không sót phần nào.",全身像（ぜんしんぞう）: ảnh toàn thân、全身麻酔（ぜんしんますい）: gây mê toàn thân、全身運動（ぜんしんうんどう）: vận động toàn thân
皺,しわ,"nếp nhăn, vết nhăn",mimikaraoboeru,Danh từ,年を取ると顔のしわが増える。,Càng nhiều tuổi thì nếp nhăn trên mặt cũng tăng lên.,"皮 (bì) - da; 芻 (sô) - rơm, cỏ khô (phần này chỉ là hình ảnh gợi ý về sự gấp nếp). Kết hợp lại là da bị nhăn, gấp nếp thành nếp nhăn.",しわくちゃ: nhăn nhúm、しわ寄せ（しわよせ）: tác động tiêu cực、目尻（めじり）のしわ: nếp nhăn đuôi mắt
人生,じんせい,"cuộc sống, cuộc đời, nhân sinh",mimikaraoboeru,Danh từ,幸せな人生を送る。,Sống cuộc sống hạnh phúc.,"人 (nhân) - người; 生 (sinh) - sống, sinh ra. Hợp lại thành cuộc sống/đời sống của con người.",人生観（じんせいかん）: quan điểm sống、人生経験（じんせいけいけん）: kinh nghiệm sống、人生設計（じんせいせっけい）: kế hoạch cuộc đời
敵,てき,"kẻ thù, đối thủ, địch",mimikaraoboeru,Danh từ,兄弟は敵と味方に分かれて戦った。,Anh em phân chia bên bạn bên thù đánh nhau.,"啇 (phần bên trái) - liên quan đến âm thanh, 攵 (phần bên phải) - bộ phộ, biểu thị sự đánh đập. Kết hợp lại biểu thị kẻ thù, đối thủ mà ta cần đánh bại.",強敵（きょうてき）: đối thủ mạnh、敵国（てきこく）: quốc gia thù địch、天敵（てんてき）: thiên địch
味方,みかた,"đồng minh, bạn bè, người ủng hộ",mimikaraoboeru,Danh từ,何があっても、私はあなたの味方です。,"Dù gặp chuyện gì đi chăng nữa, tôi vẫn là đồng minh của cậu.","味 (vị) - ý nghĩa liên quan đến mùi vị, cảm nhận; 方 (phương) - chỉ hướng, phía. Kết hợp lại có nghĩa là người đứng cùng phía, đồng minh.",味方役（みかたやく）: vai đồng minh、味方球団（みかたきゅうだん）: đội bóng đồng minh、味方陣営（みかたじんえい）: phe đồng minh
筆者,ひっしゃ,"tác giả, người viết",mimikaraoboeru,Danh từ,筆者の最も言いたいことを下から選びなさい。,Hãy chọn điều mà tác giả muốn nói nhất từ bên dưới.,"筆 (bút) - công cụ để viết; 者 (giả) - chỉ người. Kết hợp lại có nghĩa là người sử dụng bút để viết, tức là tác giả.",筆者不明（ひっしゃふめい）: không rõ tác giả、匿名筆者（とくめいひっしゃ）: tác giả ẩn danh、筆者名（ひっしゃめい）: tên tác giả
寿命,じゅみょう,"tuổi thọ, thời gian tồn tại",mimikaraoboeru,Danh từ,医学の進歩によって、人間の寿命は100年前と比べるとずいぶん伸びた。,"Với sự tiến bộ của y học, tuổi thọ của con người so với 100 năm trước đã tăng lên đáng kể.","寿 (thọ) - biểu thị sự trường thọ, tuổi thọ cao; 命 (mệnh) - sự sống, mạng sống. Kết hợp lại chỉ thời gian sống, tuổi thọ.",平均寿命（へいきんじゅみょう）: tuổi thọ trung bình、寿命延長（じゅみょうえんちょう）: kéo dài tuổi thọ、電池寿命（でんちじゅみょう）: tuổi thọ pin
将来,しょうらい,"tương lai, mai sau",mimikaraoboeru,Danh từ,将来の希望は海外で働くことだ。,Ước vọng tương lai của tôi là làm việc ở nước ngoài.,"将 (trường) - chỉ việc dẫn dắt, chỉ huy; 来 (lai) - đến, tới. Kết hợp lại có nghĩa là điều sắp đến, tương lai.",将来性（しょうらいせい）: triển vọng tương lai、近い将来（ちかいしょうらい）: tương lai gần、将来計画（しょうらいけいかく）: kế hoạch tương lai
才能,さいのう,"tài năng, năng khiếu",mimikaraoboeru,Danh từ,彼女には音楽の才能がある。,Cô ấy có tài năng về âm nhạc.,"才 (tài) - chỉ tài năng, khả năng; 能 (năng) - chỉ khả năng, năng lực. Kết hợp lại chỉ khả năng bẩm sinh, tài năng đặc biệt.",才能教育（さいのうきょういく）: giáo dục phát triển tài năng、音楽才能（おんがくさいのう）: tài năng âm nhạc、天才的才能（てんさいてきさいのう）: tài năng thiên bẩm
逃がす,にがす,"thả ra, để cho trốn thoát, bỏ lỡ",mimikaraoboeru,Động từ nhóm 1 (Godan-doushi),魚（さかな）を釣（つ）ったが、小（ちい）さいので逃（に）がしてやった。,Tôi câu cá nhưng vì nhỏ nên đã thả đi.,"""逃 (đào) - gồm bộ """"xước/tẩu"""" (辶) chỉ sự di chuyển và """"mễ"""" (兔) trông giống hình con thỏ. Ý nghĩa: cho phép ai đó chạy đi nhanh như thỏ.""",チャンスを逃がす（チャンスをにがす）: bỏ lỡ cơ hội、犯人を逃がす（はんにんをにがす）: để tội phạm trốn thoát、魚を逃がす（さかなをにがす）: thả cá đi
戻る,もどる,"quay lại, trở về, phục hồi",mimikaraoboeru,Động từ nhóm 1 (Godan-doushi),忘（わす）れ物（もの）をしたのに気（き）づいて、家（いえ）に戻（もど）った。,Nhận ra quên đồ nên đã quay lại nhà.,"""戻 (lệ) - gồm bộ """"hộ"""" (戶) chỉ cửa nhà và """"大"""" (đại) bên dưới. Tưởng tượng cánh cửa nhà và bạn quay trở lại nhà qua cánh cửa đó.""",意識が戻る（いしきがもどる）: tỉnh táo lại、記憶が戻る（きおくがもどる）: hồi phục ký ức、元に戻る（もとにもどる）: trở lại như cũ
戻す,もどす,"trả lại, đưa trở lại, hoàn lại",mimikaraoboeru,Động từ nhóm 1 (Godan-doushi),「物（もの）は元（もと）にあった場所（ばしょ）に戻（もど）しなさい」,Hãy đem đồ trở lại chỗ cũ.,"""戻 (lệ) - gồm bộ """"hộ"""" (戶) chỉ cửa nhà và """"大"""" (đại) bên dưới. Hình ảnh bạn chủ động đưa ai/cái gì đó quay lại qua cánh cửa.""",元に戻す（もとにもどす）: đưa về trạng thái ban đầu、話を戻す（はなしをもどす）: quay lại chủ đề、水で戻す（みずでもどす）: ngâm nước để phục hồi
嵌まる,はまる,"bị kẹt, vừa khít, mê mải",mimikaraoboeru,Động từ nhóm 1 (Godan-doushi),彼（かれ）の薬指（くすりゆび）には指輪（ゆびわ）がはまっていた。,Ngón áp út của anh ấy bị kẹp nhẫn (không rút ra được).,"""嵌 (khảm) - gồm bộ """"khẩu"""" (口) chỉ lỗ hổng và """"㚘"""" bên trong. Hình ảnh một vật nằm trọn bên trong lỗ hổng, khít khao.""",罠にはまる（わなにはまる）: mắc bẫy、溝にはまる（みぞにはまる）: rơi vào rãnh、ハマり役（はまりやく）: vai diễn phù hợp
嵌める,はめる,"lắp vào, đặt vào, gài vào",mimikaraoboeru,Động từ nhóm 2 (Ichidan-doushi),寒（さむ）いので、上着（うわぎ）のボタンを全部（ぜんぶ）はめた。,Vì lạnh nên tôi gài khít những nút áo khoác.,"""嵌 (khảm) - gồm bộ """"khẩu"""" (口) chỉ lỗ hổng và """"㚘"""" bên trong. Hình ảnh bạn đặt một vật vào trong lỗ hổng, khít khao.""",指輪をはめる（ゆびわをはめる）: đeo nhẫn、ガラスをはめる（ガラスをはめる）: lắp kính、罠にはめる（わなにはめる）: đặt bẫy
扱う,あつかう,"xử lý, đối xử, bán, kinh doanh",mimikaraoboeru,Động từ nhóm 1 (Godan-doushi),「壊（こわ）れやすい物（もの）ですから、丁寧（ていねい）に扱（あつか）ってください」,Vì đồ dễ vỡ nên hãy xử lý nhẹ nhàng.,"""扱 (tráp) - gồm bộ """"thủ"""" (扌) chỉ bàn tay và """"入"""" (nhập) - ám chỉ hành động dùng tay để đưa vào, xử lý thứ gì đó.""",丁寧に扱う（ていねいにあつかう）: xử lý cẩn thận、子供扱いする（こどもあつかいする）: đối xử như trẻ con、輸入品を扱う（ゆにゅうひんをあつかう）: kinh doanh hàng nhập khẩu
関わる,かかわる,"liên quan, dính líu, tham gia",mimikaraoboeru,Động từ nhóm 1 (Godan-doushi),将来（しょうらい）は子供（こども）の教育（きょういく）にかかわる仕事（しごと）がしたい。,Tương lai tôi muốn làm công việc liên quan đến giáo dục trẻ em.,"""関 (quan) - gồm bộ """"môn"""" (門) chỉ cánh cổng và """"kan"""" (㝈). Ý nghĩa: mối liên hệ, kết nối qua cánh cổng. 係わる (kakawaru) - dùng cách viết khác với kanji 係 (hệ) - chỉ mối liên hệ.""",命に関わる（いのちにかかわる）: liên quan đến tính mạng、直接関わる（ちょくせつかかわる）: liên quan trực tiếp、関わり合い（かかわりあい）: mối liên hệ
目指す,めざす,"nhắm tới, hướng đến, phấn đấu",mimikaraoboeru,Động từ nhóm 1 (Godan-doushi),選手（せんしゅ）たちはゴールを目指（めざ）して走（はし）り出（だ）した。,Các cầu thủ nhắm vào đích và chạy.,"目 (mục) - mắt, + 指 (chỉ) - ngón tay, chỉ định. Kết hợp: dùng mắt để nhìn và ngón tay để chỉ vào mục tiêu.",成功を目指す（せいこうをめざす）: hướng tới thành công、頂点を目指す（ちょうてんをめざす）: nhắm tới đỉnh cao、合格を目指す（ごうかくをめざす）: phấn đấu đỗ đạt
立つ,たつ,"khởi hành, xuất phát, rời đi",mimikaraoboeru,Động từ nhóm 1 (Godan-doushi),8月（がつ）末（まつ）に海外（かいがい）赴任（ふにん）でヨーロッパへ立（た）つ予定（よてい）だ。,Theo kế hoạch đi châu Âu nhận chức vào cuối tháng 8.,"立 (lập) - hình người đứng thẳng, + 発 (phát) - xuất phát, bắt đầu. Kết hợp: đứng dậy để bắt đầu hành trình.",旅に立つ（たびにたつ）: lên đường đi du lịch、出発地を立つ（しゅっぱつちをたつ）: rời nơi xuất phát、急ぎ立つ（いそぎたつ）: vội vã ra đi
迎える,むかえる,"đón tiếp, chào đón, nghênh đón",mimikaraoboeru,Động từ nhóm 2 (Ichidan-doushi),あの店（みせ）はいつも客（きゃく）を笑顔（えがお）で迎（むか）える。,Cửa hàng đó lúc nào cũng niềm nở đón chào khách.,"""迎 (nghênh) - gồm bộ """"xước/tẩu"""" (辶) chỉ con đường và """"卯"""" (mão). Hình ảnh đi ra đường để đón ai đó.""",新年を迎える（しんねんをむかえる）: đón năm mới、お客様を迎える（おきゃくさまをむかえる）: đón tiếp khách、誕生日を迎える（たんじょうびをむかえる）: đón sinh nhật
持てる,もてる,"được yêu thích, được ưa chuộng, có sức hấp dẫn",mimikaraoboeru,Động từ thể khả năng của 持つ (Kanoukei),「持（も）てる力（ちから）を十分（じゅうぶん）に発揮（はっき）してください」,Hãy phát huy hết khả năng của mình đang có.,"""持 (trì) - gồm bộ """"thủ"""" (扌) chỉ bàn tay và """"thời"""" (寺) - ngôi chùa. Ý nghĩa: cầm, nắm, giữ. Trong ngữ cảnh này: được nhiều người """"nắm giữ"""" trong lòng.""",モテ期（モテき）: thời kỳ được yêu thích、モテる男（モテるおとこ）: đàn ông được ưa chuộng、持てる資源（もてるしげん）: nguồn lực sẵn có
例える,たとえる,"ví như, so sánh, ví dụ",mimikaraoboeru,Động từ nhóm 2 (Ichidan-doushi),人生（じんせい）はよく旅（たび）にたとえられる。,Cuộc sống con người thường được ví như chuyến đi.,"""例 (lệ) - gồm bộ """"nhân"""" (亻) chỉ người và """"列"""" (liệt) - hàng, dãy. Ý nghĩa: người đưa ra một dãy ví dụ để minh họa.""",動物にたとえる（どうぶつにたとえる）: ví như con vật、美しさをたとえる（うつくしさをたとえる）: ví von về vẻ đẹp、花にたとえる（はなにたとえる）: ví như bông hoa
慣れる,なれる,"quen, làm quen, thích nghi",mimikaraoboeru,Động từ nhóm 2 (Ichidan-doushi),日本の生活（にほんのせいかつ）に慣（な）れるのに一年（いちねん）かかった。,Tôi đã mất một năm để làm quen với cuộc sống ở Nhật Bản.,"""慣 (quán) - gồm bộ """"tâm"""" (忄) chỉ tâm trạng, cảm xúc và """"貫"""" (quán) - xuyên qua. Ý nghĩa: trạng thái tinh thần đã thích nghi, """"xuyên qua"""" được khó khăn ban đầu.""",環境に慣れる（かんきょうになれる）: quen với môi trường、使い慣れる（つかいなれる）: quen sử dụng、慣れっこになる（なれっこになる）: quen thuộc hoàn toàn
引き受ける,ひきうける,"nhận lãnh, đảm nhận, nhận trách nhiệm",mimikaraoboeru,Động từ nhóm 2 (Ichidan-doushi),彼（かれ）は難（むずか）しい仕事（しごと）を引（ひ）き受（う）けた。,Anh ấy đã nhận lãnh công việc khó khăn.,"引 (dẫn) - kéo, dẫn dắt, + 受 (thụ) - nhận lấy. Kết hợp: kéo về phía mình và nhận lấy trách nhiệm.",責任を引き受ける（せきにんをひきうける）: nhận trách nhiệm、仕事を引き受ける（しごとをひきうける）: nhận công việc、保証人を引き受ける（ほしょうにんをひきうける）: làm người bảo lãnh
思い切る,おもいきる,"quyết tâm, dứt khoát, đánh liều",mimikaraoboeru,Động từ nhóm 1 (Godan-doushi),思（おも）い切（き）って転職（てんしょく）することにした。,Tôi đã quyết tâm đổi việc.,"思 (tư) - suy nghĩ, + 切 (thiết) - cắt đứt. Kết hợp: cắt đứt những suy nghĩ lưỡng lự để đưa ra quyết định dứt khoát.",思い切った決断（おもいきったけつだん）: quyết định dứt khoát、思い切り遊ぶ（おもいきりあそぶ）: chơi hết mình、思い切りよく（おもいきりよく）: một cách dứt khoát
取り組む,とりくむ,"giải quyết, đối phó, tham gia",mimikaraoboeru,Động từ nhóm 1 (Godan-doushi),環境問題（かんきょうもんだい）に取（と）り組（く）む。,Giải quyết vấn đề môi trường.,"取 (thủ) - lấy, nắm bắt, + 組 (tổ) - kết hợp, tổ chức. Kết hợp: nắm bắt và tổ chức để giải quyết vấn đề.",問題に取り組む（もんだいにとりくむ）: giải quyết vấn đề、熱心に取り組む（ねっしんにとりくむ）: tham gia nhiệt tình、研究に取り組む（けんきゅうにとりくむ）: dấn thân vào nghiên cứu
